,SCHOOL_DSTRCT_CD,LABEL_LVL_1_DESC,PROGRAM_TOTAL,PROGRAM_PERCENT,TOTAL_COUNT
737,641,Grad Rate -White,108.0,80.6,134.0
738,642,Grad Rate -ALL Students,248.0,95.75,259.0
743,642,Grad Rate -Economically Disadvantaged,82.0,93.18,88.0
744,642,Grad Rate -Female,103.0,94.5,109.0
746,642,Grad Rate -Hispanic,23.0,100.0,23.0
747,642,Grad Rate -Homeless,13.0,92.86,14.0
749,642,Grad Rate -Male,145.0,96.67,150.0
752,642,Grad Rate -Not Economically Disadvantaged,166.0,97.1,171.0
753,642,Grad Rate -Students With Disability,26.0,83.87,31.0
754,642,Grad Rate -Students Without Disability,222.0,97.4,228.0
755,642,Grad Rate -White,221.0,95.67,231.0
756,643,Grad Rate -ALL Students,248.66666666666666,74.23333333333333,292.6666666666667
760,643,Grad Rate -Black,122.0,75.50333333333333,144.66666666666666
761,643,Grad Rate -Economically Disadvantaged,248.66666666666666,74.23333333333333,292.6666666666667
762,643,Grad Rate -Female,116.66666666666667,76.22666666666667,134.0
764,643,Grad Rate -Hispanic,36.0,85.795,42.0
765,643,Grad Rate -Homeless,10.0,76.92,13.0
766,643,Grad Rate -Limited English Proficient,13.0,78.86,16.5
767,643,Grad Rate -Male,132.0,73.23333333333333,158.66666666666666
771,643,Grad Rate -Students With Disability,29.0,71.57,41.0
772,643,Grad Rate -Students Without Disability,227.33333333333334,75.7,260.6666666666667
773,643,Grad Rate -White,145.5,89.12,163.5
774,644,Grad Rate -ALL Students,426.52,73.56,576.08
776,644,Grad Rate -American Indian/Alaskan,12.0,75.0,16.0
777,644,Grad Rate -Asian/Pacific Islander,75.33333333333333,77.48777777777777,105.88888888888889
778,644,Grad Rate -Black,302.3333333333333,74.865,404.125
779,644,Grad Rate -Economically Disadvantaged,288.4782608695652,72.60782608695654,414.1304347826087
780,644,Grad Rate -Female,251.43478260869566,80.88434782608697,310.82608695652175
782,644,Grad Rate -Hispanic,118.4,66.10999999999999,194.8
783,644,Grad Rate -Homeless,91.0,51.7,176.0
784,644,Grad Rate -Limited English Proficient,88.63636363636364,51.856363636363646,173.8181818181818
785,644,Grad Rate -Male,202.66666666666666,67.43291666666666,301.2083333333333
787,644,Grad Rate -Multi-Racial,36.666666666666664,87.27333333333333,46.333333333333336
788,644,Grad Rate -Not Economically Disadvantaged,222.55555555555554,83.95,263.72222222222223
789,644,Grad Rate -Students With Disability,36.375,52.84375000000001,73.75
790,644,Grad Rate -Students Without Disability,418.2916666666667,75.62916666666666,545.375
791,644,Grad Rate -White,179.0,93.94000000000001,193.14285714285714
792,645,Grad Rate -ALL Students,132.66666666666666,76.90333333333335,146.66666666666666
796,645,Grad Rate -Black,78.0,95.325,82.0
797,645,Grad Rate -Economically Disadvantaged,90.66666666666667,76.76333333333334,102.66666666666667
798,645,Grad Rate -Female,102.0,96.32,106.0
803,645,Grad Rate -Male,91.0,91.425,100.0
806,645,Grad Rate -Not Economically Disadvantaged,62.5,97.75,64.0
807,645,Grad Rate -Students With Disability,30.0,86.185,35.0
808,645,Grad Rate -Students Without Disability,163.0,95.55,171.0
809,645,Grad Rate -White,105.0,94.445,111.5
810,646,Grad Rate -ALL Students,82.0,83.685,98.0
814,646,Grad Rate -Black,71.0,89.315,79.5
815,646,Grad Rate -Economically Disadvantaged,82.0,83.685,98.0
816,646,Grad Rate -Female,44.5,86.405,51.5
821,646,Grad Rate -Male,37.5,80.7,46.5
825,646,Grad Rate -Students With Disability,12.0,92.265,13.0
826,646,Grad Rate -Students Without Disability,70.0,82.35,85.0
828,647,Grad Rate -ALL Students,414.5,86.38999999999999,481.75
832,647,Grad Rate -Black,383.0,87.38499999999999,439.25
833,647,Grad Rate -Economically Disadvantaged,414.5,86.38999999999999,481.75
834,647,Grad Rate -Female,226.0,89.59,253.25
836,647,Grad Rate -Hispanic,11.0,57.89,19.0
837,647,Grad Rate -Homeless,24.0,75.8,31.5
838,647,Grad Rate -Limited English Proficient,16.0,64.0,25.0
839,647,Grad Rate -Male,188.5,82.53,228.5
841,647,Grad Rate -Multi-Racial,11.0,78.57,14.0
843,647,Grad Rate -Students With Disability,28.5,67.105,43.25
844,647,Grad Rate -Students Without Disability,386.0,88.325,438.5
845,647,Grad Rate -White,26.0,72.055,36.5
846,648,Grad Rate -ALL Students,626.6666666666666,87.65499999999999,716.6666666666666
847,648,Grad Rate -Active Duty,10.0,90.91,11.0
849,648,Grad Rate -Asian/Pacific Islander,23.0,85.19,27.0
850,648,Grad Rate -Black,345.8333333333333,88.30666666666667,395.1666666666667
851,648,Grad Rate -Economically Disadvantaged,316.0,89.64166666666667,355.8333333333333
852,648,Grad Rate -Female,317.1666666666667,92.38333333333333,343.6666666666667
854,648,Grad Rate -Hispanic,83.0,85.04166666666667,100.0
855,648,Grad Rate -Homeless,30.666666666666668,76.32666666666667,41.333333333333336
856,648,Grad Rate -Limited English Proficient,25.75,73.08,36.25
857,648,Grad Rate -Male,309.5,83.33333333333333,373.0
859,648,Grad Rate -Multi-Racial,31.4,87.912,35.6
860,648,Grad Rate -Not Economically Disadvantaged,310.6666666666667,84.96666666666667,360.8333333333333
861,648,Grad Rate -Students With Disability,65.66666666666667,76.16000000000001,87.33333333333333
862,648,Grad Rate -Students Without Disability,561.0,89.2,629.3333333333334
863,648,Grad Rate -White,161.16666666666666,87.07666666666667,179.83333333333334
864,649,Grad Rate -ALL Students,124.0,84.93,146.0
868,649,Grad Rate -Black,79.0,84.95,93.0
869,649,Grad Rate -Economically Disadvantaged,124.0,84.93,146.0
870,649,Grad Rate -Female,61.0,87.14,70.0
875,649,Grad Rate -Male,63.0,82.89,76.0
879,649,Grad Rate -Students With Disability,13.0,65.0,20.0
880,649,Grad Rate -Students Without Disability,111.0,88.1,126.0
881,649,Grad Rate -White,37.0,90.24,41.0
882,650,Grad Rate -ALL Students,62.0,100.0,62.0
887,650,Grad Rate -Economically Disadvantaged,62.0,100.0,62.0
888,650,Grad Rate -Female,33.0,100.0,33.0
890,650,Grad Rate -Hispanic,26.0,100.0,26.0
893,650,Grad Rate -Male,29.0,100.0,29.0
898,650,Grad Rate -Students Without Disability,56.0,100.0,56.0
899,650,Grad Rate -White,34.0,100.0,34.0
900,651,Grad Rate -ALL Students,538.6666666666666,90.49333333333334,595.3333333333334
901,651,Grad Rate -Active Duty,28.0,100.0,28.0
904,651,Grad Rate -Black,82.66666666666667,90.98,91.33333333333333
905,651,Grad Rate -Economically Disadvantaged,177.33333333333334,84.28333333333335,210.66666666666666
906,651,Grad Rate -Female,279.3333333333333,93.35666666666667,299.3333333333333
908,651,Grad Rate -Hispanic,32.666666666666664,87.36666666666667,37.333333333333336
909,651,Grad Rate -Homeless,12.5,75.96000000000001,16.5
911,651,Grad Rate -Male,259.3333333333333,87.61333333333334,296.0
913,651,Grad Rate -Multi-Racial,18.666666666666668,82.68666666666667,22.666666666666668
914,651,Grad Rate -Not Economically Disadvantaged,361.3333333333333,93.93333333333332,384.6666666666667
915,651,Grad Rate -Students With Disability,60.666666666666664,77.06,78.66666666666667
916,651,Grad Rate -Students Without Disability,478.0,92.53333333333335,516.6666666666666
917,651,Grad Rate -White,402.0,91.07333333333334,441.3333333333333
918,652,Grad Rate -ALL Students,162.0,90.0,180.0
922,652,Grad Rate -Black,56.0,87.52000000000001,64.0
923,652,Grad Rate -Economically Disadvantaged,94.0,91.27,103.0
924,652,Grad Rate -Female,92.0,94.85,97.0
926,652,Grad Rate -Hispanic,21.0,91.3,23.0
929,652,Grad Rate -Male,70.0,84.35,83.0
932,652,Grad Rate -Not Economically Disadvantaged,68.0,88.3,77.0
933,652,Grad Rate -Students With Disability,14.0,73.68,19.0
934,652,Grad Rate -Students Without Disability,148.0,91.95,161.0
935,652,Grad Rate -White,81.0,93.1,87.0
936,653,Grad Rate -ALL Students,145.33333333333334,84.50333333333333,174.0
940,653,Grad Rate -Black,60.0,85.99333333333334,71.33333333333333
941,653,Grad Rate -Economically Disadvantaged,145.33333333333334,84.50333333333333,174.0
942,653,Grad Rate -Female,76.0,91.10666666666667,84.0
944,653,Grad Rate -Hispanic,12.5,80.46,15.5
947,653,Grad Rate -Male,69.33333333333333,78.29333333333334,90.0
951,653,Grad Rate -Students With Disability,19.5,59.65,32.5
952,653,Grad Rate -Students Without Disability,130.0,87.63333333333333,149.33333333333334
953,653,Grad Rate -White,72.66666666666667,83.94666666666666,86.66666666666667
954,654,Grad Rate -ALL Students,95.5,86.19,111.0
958,654,Grad Rate -Black,31.0,85.07499999999999,36.5
959,654,Grad Rate -Economically Disadvantaged,95.5,86.19,111.0
960,654,Grad Rate -Female,47.0,87.91499999999999,53.5
962,654,Grad Rate -Hispanic,23.5,78.57,30.0
965,654,Grad Rate -Male,48.5,84.61,57.5
969,654,Grad Rate -Students With Disability,12.0,83.655,14.5
970,654,Grad Rate -Students Without Disability,83.5,86.6,96.5
971,654,Grad Rate -White,38.0,91.685,41.5
972,655,Grad Rate -ALL Students,185.0,93.91,197.0
977,655,Grad Rate -Economically Disadvantaged,92.0,92.0,100.0
978,655,Grad Rate -Female,97.0,96.04,101.0
981,655,Grad Rate -Homeless,23.0,85.19,27.0
983,655,Grad Rate -Male,88.0,91.67,96.0
985,655,Grad Rate -Multi-Racial,11.0,100.0,11.0
986,655,Grad Rate -Not Economically Disadvantaged,93.0,95.9,97.0
987,655,Grad Rate -Students With Disability,21.0,91.3,23.0
988,655,Grad Rate -Students Without Disability,164.0,94.3,174.0
989,655,Grad Rate -White,164.0,94.8,173.0
990,656,Grad Rate -ALL Students,542.6666666666666,90.11333333333333,601.3333333333334
991,656,Grad Rate -Active Duty,21.0,93.055,23.5
993,656,Grad Rate -Asian/Pacific Islander,37.0,85.685,42.0
994,656,Grad Rate -Black,158.66666666666666,88.005,179.33333333333334
995,656,Grad Rate -Economically Disadvantaged,101.33333333333333,76.67666666666666,133.0
996,656,Grad Rate -Female,282.3333333333333,94.61333333333334,298.3333333333333
998,656,Grad Rate -Hispanic,45.333333333333336,82.25166666666667,57.333333333333336
999,656,Grad Rate -Homeless,12.0,85.71,14.0
1000,656,Grad Rate -Limited English Proficient,19.0,57.565,32.5
1001,656,Grad Rate -Male,260.3333333333333,85.70166666666667,303.0
1003,656,Grad Rate -Multi-Racial,31.666666666666668,95.09500000000001,33.333333333333336
1004,656,Grad Rate -Not Economically Disadvantaged,441.3333333333333,93.88333333333333,468.3333333333333
1005,656,Grad Rate -Students With Disability,33.333333333333336,63.65,52.666666666666664
1006,656,Grad Rate -Students Without Disability,509.3333333333333,92.68333333333334,548.6666666666666
1007,656,Grad Rate -White,268.6666666666667,89.98833333333334,287.6666666666667
1008,657,Grad Rate -ALL Students,238.4,93.422,255.6
1012,657,Grad Rate -Black,19.75,89.905,22.0
1013,657,Grad Rate -Economically Disadvantaged,238.4,93.422,255.6
1014,657,Grad Rate -Female,123.2,93.69000000000001,132.0
1016,657,Grad Rate -Hispanic,43.333333333333336,92.68333333333334,47.333333333333336
1017,657,Grad Rate -Homeless,25.0,78.37,33.0
1018,657,Grad Rate -Limited English Proficient,12.0,75.0,16.0
1019,657,Grad Rate -Male,115.2,93.24199999999999,123.6
1021,657,Grad Rate -Multi-Racial,21.0,95.45,22.0
1023,657,Grad Rate -Students With Disability,31.25,75.6075,40.5
1024,657,Grad Rate -Students Without Disability,212.0,96.14000000000001,221.2
1025,657,Grad Rate -White,184.0,93.702,196.4
1026,658,Grad Rate -ALL Students,963.5714285714286,93.86000000000001,1017.5714285714286
1028,658,Grad Rate -American Indian/Alaskan,11.0,91.67,12.0
1029,658,Grad Rate -Asian/Pacific Islander,136.66666666666666,98.54166666666667,138.66666666666666
1030,658,Grad Rate -Black,35.5,89.94,39.5
1031,658,Grad Rate -Economically Disadvantaged,121.5,84.77666666666667,145.33333333333334
1032,658,Grad Rate -Female,505.42857142857144,96.55999999999999,524.7142857142857
1034,658,Grad Rate -Hispanic,137.5,90.09500000000001,153.83333333333334
1035,658,Grad Rate -Homeless,23.75,71.63000000000001,36.25
1036,658,Grad Rate -Limited English Proficient,38.6,84.27600000000001,47.8
1037,658,Grad Rate -Male,533.3333333333334,92.82333333333334,573.5
1039,658,Grad Rate -Multi-Racial,32.666666666666664,95.295,34.0
1040,658,Grad Rate -Not Economically Disadvantaged,859.1428571428571,96.54285714285713,892.4285714285714
1041,658,Grad Rate -Students With Disability,83.5,80.60333333333334,104.0
1042,658,Grad Rate -Students Without Disability,891.8571428571429,95.0,928.2857142857143
1043,658,Grad Rate -White,666.8571428571429,95.04142857142857,700.1428571428571
1044,659,Grad Rate -ALL Students,235.0,90.73,259.0
1048,659,Grad Rate -Black,14.0,82.35,17.0
1049,659,Grad Rate -Economically Disadvantaged,74.0,83.15,89.0
1050,659,Grad Rate -Female,115.0,95.04,121.0
1052,659,Grad Rate -Hispanic,19.0,100.0,19.0
1055,659,Grad Rate -Male,120.0,86.96,138.0
1058,659,Grad Rate -Not Economically Disadvantaged,161.0,94.7,170.0
1059,659,Grad Rate -Students With Disability,22.0,64.71,34.0
1060,659,Grad Rate -Students Without Disability,213.0,94.7,225.0
1061,659,Grad Rate -White,197.0,90.78,217.0
1062,660,Grad Rate -ALL Students,686.0,83.4555,784.9
1063,660,Grad Rate -Active Duty,10.0,83.33,12.0
1065,660,Grad Rate -Asian/Pacific Islander,156.2,96.437,161.8
1066,660,Grad Rate -Black,278.7,83.2605,342.15
1067,660,Grad Rate -Economically Disadvantaged,235.2,78.42399999999999,302.0
1068,660,Grad Rate -Female,352.75,86.83349999999999,388.7
1070,660,Grad Rate -Hispanic,95.0,83.86235294117647,116.05882352941177
1071,660,Grad Rate -Homeless,41.833333333333336,81.64833333333334,55.5
1072,660,Grad Rate -Limited English Proficient,39.166666666666664,74.74333333333333,55.25
1073,660,Grad Rate -Male,350.3157894736842,84.36631578947372,408.89473684210526
1075,660,Grad Rate -Multi-Racial,37.857142857142854,95.83,41.285714285714285
1076,660,Grad Rate -Not Economically Disadvantaged,600.6,92.40666666666668,638.2666666666667
1077,660,Grad Rate -Students With Disability,56.26315789473684,76.86473684210527,76.6842105263158
1078,660,Grad Rate -Students Without Disability,632.5,84.625,710.5
1079,660,Grad Rate -White,382.3333333333333,93.41333333333334,400.5833333333333
1080,661,Grad Rate -ALL Students,278.0,92.36,301.0
1085,661,Grad Rate -Economically Disadvantaged,133.0,88.67,150.0
1086,661,Grad Rate -Female,142.0,93.42,152.0
1088,661,Grad Rate -Hispanic,63.0,92.65,68.0
1089,661,Grad Rate -Homeless,16.0,84.21,19.0
1090,661,Grad Rate -Limited English Proficient,23.0,88.46,26.0
1091,661,Grad Rate -Male,136.0,91.28,149.0
1094,661,Grad Rate -Not Economically Disadvantaged,145.0,96.0,151.0
1095,661,Grad Rate -Students With Disability,26.0,81.25,32.0
1096,661,Grad Rate -Students Without Disability,252.0,93.7,269.0
1097,661,Grad Rate -White,211.0,92.54,228.0
1098,662,Grad Rate -ALL Students,33.0,91.67,36.0
1103,662,Grad Rate -Economically Disadvantaged,17.0,85.0,20.0
1104,662,Grad Rate -Female,14.0,93.33,15.0
1109,662,Grad Rate -Male,19.0,90.48,21.0
1112,662,Grad Rate -Not Economically Disadvantaged,16.0,100.0,16.0
1114,662,Grad Rate -Students Without Disability,32.0,91.4,35.0
1115,662,Grad Rate -White,31.0,91.18,34.0
1116,663,Grad Rate -ALL Students,503.3333333333333,92.71333333333332,542.6666666666666
1117,663,Grad Rate -Active Duty,13.0,100.0,13.0
1119,663,Grad Rate -Asian/Pacific Islander,13.0,100.0,13.0
1120,663,Grad Rate -Black,158.0,92.33666666666666,170.66666666666666
1121,663,Grad Rate -Economically Disadvantaged,211.33333333333334,88.10666666666667,240.0
1122,663,Grad Rate -Female,255.33333333333334,94.39666666666666,270.6666666666667
1124,663,Grad Rate -Hispanic,48.666666666666664,90.2,54.0
1125,663,Grad Rate -Homeless,15.0,87.14,17.5
1126,663,Grad Rate -Limited English Proficient,15.333333333333334,79.16000000000001,19.333333333333332
1127,663,Grad Rate -Male,248.0,91.12,272.0
1129,663,Grad Rate -Multi-Racial,15.5,87.5,18.0
1130,663,Grad Rate -Not Economically Disadvantaged,292.0,96.43333333333334,302.6666666666667
1131,663,Grad Rate -Students With Disability,49.333333333333336,74.02666666666666,66.66666666666667
1132,663,Grad Rate -Students Without Disability,454.0,95.33333333333333,476.0
1133,663,Grad Rate -White,274.0,93.23666666666668,292.6666666666667
1134,664,Grad Rate -ALL Students,305.3333333333333,92.38333333333333,330.6666666666667
1139,664,Grad Rate -Economically Disadvantaged,150.66666666666666,92.22333333333331,163.33333333333334
1140,664,Grad Rate -Female,144.0,93.24,154.66666666666666
1142,664,Grad Rate -Hispanic,53.333333333333336,94.89999999999999,56.0
1143,664,Grad Rate -Homeless,33.333333333333336,78.12666666666667,42.666666666666664
1144,664,Grad Rate -Limited English Proficient,21.5,89.685,24.0
1145,664,Grad Rate -Male,161.33333333333334,91.66000000000001,176.0
1148,664,Grad Rate -Not Economically Disadvantaged,154.66666666666666,92.43333333333334,167.33333333333334
1149,664,Grad Rate -Students With Disability,33.333333333333336,79.28666666666668,42.0
1150,664,Grad Rate -Students Without Disability,272.0,94.26666666666667,288.6666666666667
1151,664,Grad Rate -White,234.66666666666666,91.53666666666668,256.6666666666667
1152,665,Grad Rate -ALL Students,276.0,88.75,311.0
1156,665,Grad Rate -Black,111.0,94.87,117.0
1157,665,Grad Rate -Economically Disadvantaged,276.0,88.75,311.0
1158,665,Grad Rate -Female,138.0,92.62,149.0
1160,665,Grad Rate -Hispanic,36.0,76.6,47.0
1161,665,Grad Rate -Homeless,24.0,85.71,28.0
1163,665,Grad Rate -Male,138.0,85.19,162.0
1167,665,Grad Rate -Students With Disability,22.0,81.48,27.0
1168,665,Grad Rate -Students Without Disability,254.0,89.4,284.0
1169,665,Grad Rate -White,120.0,88.24,136.0
1170,666,Grad Rate -ALL Students,80.0,86.08999999999999,95.33333333333333
1174,666,Grad Rate -Black,60.0,77.89,77.0
1175,666,Grad Rate -Economically Disadvantaged,81.5,79.125,103.0
1176,666,Grad Rate -Female,43.333333333333336,88.51333333333334,49.333333333333336
1178,666,Grad Rate -Hispanic,11.5,82.28999999999999,14.0
1181,666,Grad Rate -Male,36.666666666666664,84.42999999999999,46.0
1184,666,Grad Rate -Not Economically Disadvantaged,36.0,97.3,37.0
1185,666,Grad Rate -Students With Disability,13.0,68.42,19.0
1186,666,Grad Rate -Students Without Disability,71.33333333333333,87.86666666666667,82.66666666666667
1187,666,Grad Rate -White,27.333333333333332,91.85333333333334,29.333333333333332
1188,667,Grad Rate -ALL Students,1007.7826086956521,80.24521739130435,1234.8260869565217
1189,667,Grad Rate -Active Duty,27.0,84.38,32.0
1190,667,Grad Rate -American Indian/Alaskan,15.0,57.69,26.0
1191,667,Grad Rate -Asian/Pacific Islander,140.95238095238096,89.37904761904763,155.0952380952381
1192,667,Grad Rate -Black,330.8695652173913,80.36956521739131,409.7391304347826
1193,667,Grad Rate -Economically Disadvantaged,455.90909090909093,78.24954545454547,598.1818181818181
1194,667,Grad Rate -Female,521.8260869565217,83.50347826086958,612.8695652173913
1196,667,Grad Rate -Hispanic,256.22727272727275,76.17818181818183,356.6818181818182
1197,667,Grad Rate -Homeless,46.25,56.49,85.0
1198,667,Grad Rate -Limited English Proficient,55.15,58.041500000000006,104.8
1199,667,Grad Rate -Male,485.95652173913044,77.03217391304347,621.9565217391304
1201,667,Grad Rate -Multi-Racial,39.3,85.4465,45.9
1202,667,Grad Rate -Not Economically Disadvantaged,571.304347826087,82.20434782608694,661.3913043478261
1203,667,Grad Rate -Students With Disability,91.95,60.073,158.65
1204,667,Grad Rate -Students Without Disability,927.5652173913044,83.08260869565218,1095.5652173913043
1205,667,Grad Rate -White,266.5652173913044,81.97217391304348,297.4347826086956
1206,668,Grad Rate -ALL Students,275.3333333333333,92.62,299.3333333333333
1207,668,Grad Rate -Active Duty,14.5,87.59,16.5
1209,668,Grad Rate -Asian/Pacific Islander,10.0,100.0,10.0
1211,668,Grad Rate -Economically Disadvantaged,146.0,90.43666666666667,162.0
1212,668,Grad Rate -Female,138.0,94.23,148.0
1214,668,Grad Rate -Hispanic,88.66666666666667,92.52,99.33333333333333
1215,668,Grad Rate -Homeless,12.0,92.31,13.0
1216,668,Grad Rate -Limited English Proficient,32.5,69.805,46.5
1217,668,Grad Rate -Male,137.33333333333334,90.68333333333332,151.33333333333334
1219,668,Grad Rate -Multi-Racial,13.0,86.60499999999999,15.0
1220,668,Grad Rate -Not Economically Disadvantaged,129.33333333333334,95.93333333333332,137.33333333333334
1221,668,Grad Rate -Students With Disability,46.666666666666664,86.79333333333334,53.0
1222,668,Grad Rate -Students Without Disability,228.66666666666666,94.2,246.33333333333334
1223,668,Grad Rate -White,166.0,93.01333333333332,177.33333333333334
1224,669,Grad Rate -ALL Students,391.22222222222223,85.74444444444445,445.22222222222223
1227,669,Grad Rate -Asian/Pacific Islander,29.0,93.55,31.0
1228,669,Grad Rate -Black,39.4,88.386,46.2
1229,669,Grad Rate -Economically Disadvantaged,163.22222222222223,82.30222222222223,189.77777777777777
1230,669,Grad Rate -Female,197.55555555555554,89.79555555555555,214.55555555555554
1232,669,Grad Rate -Hispanic,175.625,82.7475,208.375
1233,669,Grad Rate -Homeless,24.0,64.86,37.0
1234,669,Grad Rate -Limited English Proficient,53.0,68.005,80.16666666666667
1235,669,Grad Rate -Male,193.66666666666666,82.27,230.66666666666666
1236,669,Grad Rate -Migrant,11.0,57.89,19.0
1237,669,Grad Rate -Multi-Racial,24.0,77.42,31.0
1238,669,Grad Rate -Not Economically Disadvantaged,228.0,86.97777777777777,255.44444444444446
1239,669,Grad Rate -Students With Disability,39.857142857142854,72.07857142857144,59.42857142857143
1240,669,Grad Rate -Students Without Disability,359.3333333333333,89.01111111111112,395.22222222222223
1241,669,Grad Rate -White,198.77777777777777,89.86222222222221,216.77777777777777
1242,670,Grad Rate -ALL Students,64.0,80.0,80.0
1246,670,Grad Rate -Black,64.0,84.21,76.0
1247,670,Grad Rate -Economically Disadvantaged,64.0,80.0,80.0
1248,670,Grad Rate -Female,29.0,93.55,31.0
1253,670,Grad Rate -Male,35.0,71.43,49.0
1257,670,Grad Rate -Students With Disability,15.0,88.24,17.0
1258,670,Grad Rate -Students Without Disability,49.0,77.8,63.0
1260,671,Grad Rate -ALL Students,207.0,97.875,211.5
1265,671,Grad Rate -Economically Disadvantaged,206.0,97.86500000000001,210.5
1266,671,Grad Rate -Female,106.0,99.075,107.0
1269,671,Grad Rate -Homeless,20.0,100.0,20.0
1271,671,Grad Rate -Male,101.0,96.655,104.5
1273,671,Grad Rate -Multi-Racial,11.0,100.0,11.0
1275,671,Grad Rate -Students With Disability,26.0,92.86,28.0
1276,671,Grad Rate -Students Without Disability,181.0,98.65,183.5
1277,671,Grad Rate -White,187.0,98.425,190.0
1278,672,Grad Rate -ALL Students,389.0,93.29,417.0
1279,672,Grad Rate -Active Duty,33.0,97.06,34.0
1282,672,Grad Rate -Black,70.0,88.61,79.0
1283,672,Grad Rate -Economically Disadvantaged,121.0,89.63,135.0
1284,672,Grad Rate -Female,204.0,93.15,219.0
1286,672,Grad Rate -Hispanic,18.0,94.74,19.0
1289,672,Grad Rate -Male,185.0,93.43,198.0
1291,672,Grad Rate -Multi-Racial,14.0,100.0,14.0
1292,672,Grad Rate -Not Economically Disadvantaged,268.0,95.0,282.0
1293,672,Grad Rate -Students With Disability,31.0,73.81,42.0
1294,672,Grad Rate -Students Without Disability,358.0,95.5,375.0
1295,672,Grad Rate -White,285.0,94.06,303.0
1296,673,Grad Rate -ALL Students,222.0,94.87,234.0
1300,673,Grad Rate -Black,53.0,96.36,55.0
1301,673,Grad Rate -Economically Disadvantaged,115.0,92.0,125.0
1302,673,Grad Rate -Female,108.0,97.3,111.0
1304,673,Grad Rate -Hispanic,14.0,93.33,15.0
1307,673,Grad Rate -Male,114.0,92.68,123.0
1310,673,Grad Rate -Not Economically Disadvantaged,107.0,98.2,109.0
1311,673,Grad Rate -Students With Disability,19.0,79.17,24.0
1312,673,Grad Rate -Students Without Disability,203.0,96.7,210.0
1313,673,Grad Rate -White,141.0,94.63,149.0
1314,674,Grad Rate -ALL Students,145.0,83.33,174.0
1318,674,Grad Rate -Black,22.0,88.0,25.0
1319,674,Grad Rate -Economically Disadvantaged,72.0,75.79,95.0
1320,674,Grad Rate -Female,64.0,78.05,82.0
1325,674,Grad Rate -Male,81.0,88.04,92.0
1328,674,Grad Rate -Not Economically Disadvantaged,73.0,92.4,79.0
1329,674,Grad Rate -Students With Disability,11.0,61.11,18.0
1330,674,Grad Rate -Students Without Disability,134.0,85.9,156.0
1331,674,Grad Rate -White,110.0,82.09,134.0
1332,675,Grad Rate -ALL Students,534.5,84.60416666666667,613.5833333333334
1333,675,Grad Rate -Active Duty,16.0,94.12,17.0
1335,675,Grad Rate -Asian/Pacific Islander,33.6,94.352,35.6
1336,675,Grad Rate -Black,310.1666666666667,86.45083333333334,352.3333333333333
1337,675,Grad Rate -Economically Disadvantaged,220.0,79.79666666666668,267.4166666666667
1338,675,Grad Rate -Female,280.8333333333333,89.62333333333333,309.8333333333333
1340,675,Grad Rate -Hispanic,46.72727272727273,84.73545454545454,56.81818181818182
1341,675,Grad Rate -Homeless,28.714285714285715,81.12714285714287,36.42857142857143
1342,675,Grad Rate -Limited English Proficient,34.0,60.71,56.0
1343,675,Grad Rate -Male,253.66666666666666,80.51,303.75
1345,675,Grad Rate -Multi-Racial,25.0,89.335,29.0
1346,675,Grad Rate -Not Economically Disadvantaged,314.5,88.21666666666668,346.1666666666667
1347,675,Grad Rate -Students With Disability,57.25,69.925,80.58333333333333
1348,675,Grad Rate -Students Without Disability,477.25,86.64166666666667,533.0
1349,675,Grad Rate -White,162.54545454545453,80.58818181818182,187.27272727272728
1350,676,Grad Rate -ALL Students,522.8571428571429,81.13,594.0
1351,676,Grad Rate -Active Duty,43.5,94.30333333333334,46.5
1353,676,Grad Rate -Asian/Pacific Islander,35.333333333333336,96.59333333333332,36.666666666666664
1354,676,Grad Rate -Black,232.83333333333334,89.29666666666667,263.3333333333333
1355,676,Grad Rate -Economically Disadvantaged,249.71428571428572,76.60714285714286,304.2857142857143
1356,676,Grad Rate -Female,320.6666666666667,91.945,350.8333333333333
1358,676,Grad Rate -Hispanic,54.0,88.18666666666667,61.833333333333336
1359,676,Grad Rate -Homeless,25.5,78.67,33.5
1360,676,Grad Rate -Limited English Proficient,25.0,75.76,33.0
1361,676,Grad Rate -Male,247.42857142857142,78.87285714285714,291.2857142857143
1363,676,Grad Rate -Multi-Racial,37.0,88.652,42.6
1364,676,Grad Rate -Not Economically Disadvantaged,318.6666666666667,93.83333333333336,338.0
1365,676,Grad Rate -Students With Disability,57.5,72.45833333333333,79.83333333333333
1366,676,Grad Rate -Students Without Disability,472.85714285714283,82.6,523.7142857142857
1367,676,Grad Rate -White,266.3333333333333,88.55499999999999,299.5
1368,677,Grad Rate -ALL Students,99.0,95.19,104.0
1372,677,Grad Rate -Black,34.0,97.14,35.0
1373,677,Grad Rate -Economically Disadvantaged,99.0,95.19,104.0
1374,677,Grad Rate -Female,48.0,96.0,50.0
1379,677,Grad Rate -Male,51.0,94.44,54.0
1384,677,Grad Rate -Students Without Disability,92.0,96.8,95.0
1385,677,Grad Rate -White,58.0,95.08,61.0
1386,678,Grad Rate -ALL Students,287.3333333333333,95.91333333333334,300.0
1389,678,Grad Rate -Asian/Pacific Islander,12.0,92.31,13.0
1390,678,Grad Rate -Black,18.666666666666668,100.0,18.666666666666668
1391,678,Grad Rate -Economically Disadvantaged,99.33333333333333,92.63,106.66666666666667
1392,678,Grad Rate -Female,158.66666666666666,97.88999999999999,162.0
